magic;symbol;type;time_open;time_close;price_open;price_close;profit;volume;swap;commission;comment
20250811;XAUUSD;1;1721854949;1721854949;2407.92000;2407.92000;-93.62;0.12;0.00;0.00;sl 2407.92
20250811;XAUUSD;1;1723845052;1723845052;2505.32000;2505.32000;469.32;0.12;0.00;0.00;tp 2505.32
20250811;XAUUSD;1;1724945443;1724945443;2510.16000;2510.16000;-88.15;0.11;0.00;0.00;sl 2510.22
20250811;XAUUSD;1;1725649565;1725649565;2495.83000;2495.83000;-87.09;0.11;-1.25;0.00;sl 2495.83
20250811;XAUUSD;1;1726159535;1726159535;2550.12000;2550.12000;446.21;0.11;-5.04;0.00;tp 2550.11
20250811;XAUUSD;1;1726159535;1726159535;2550.12000;2550.12000;437.14;0.11;-5.04;0.00;tp 2550.11
20250811;XAUUSD;1;1726692639;1726692639;2567.35000;2567.35000;-89.16;0.11;0.00;0.00;sl 2567.35
20250811;XAUUSD;1;1726760139;1726760139;2582.96000;2582.96000;-89.79;0.11;0.00;0.00;sl 2582.98
20250811;XAUUSD;0;1733144511;1733144511;2637.78000;2637.78000;-96.19;0.11;0.00;0.00;sl 2637.78
20250811;XAUUSD;1;1736530143;1736530143;2694.99000;2694.99000;496.72;0.11;-6.72;0.00;tp 2694.98
20250811;XAUUSD;1;1737055563;1737055563;2722.97000;2722.97000;499.57;0.11;-4.04;0.00;tp 2722.97
20250811;XAUUSD;1;1740504265;1740504265;2912.61000;2912.61000;-0.86;0.10;-8.44;0.00;sl 2912.70
20250811;XAUUSD;1;1746506194;1746506194;3366.78000;3366.78000;463.18;0.09;-1.00;0.00;tp 3366.59
20250811;XAUUSD;0;1747616400;1747616400;3219.84000;3219.84000;-84.13;0.09;-0.37;0.00;sl 3209.40
20250811;XAUUSD;1;1748882700;1748882700;3367.00000;3367.00000;457.15;0.09;0.00;0.00;tp 3366.92
20250811;XAUUSD;1;1749650663;1749650663;3328.14000;3328.14000;-92.22;0.09;0.00;0.00;sl 3328.17
20250811;XAUUSD;1;1753199755;1753199755;3406.23000;3406.23000;451.09;0.09;-1.95;0.00;tp 3406.20
20250811;XAUUSD;0;1755882003;1755882003;3342.56000;3342.56000;-110.06;0.09;0.00;0.00;sl 3340.01
